filename	promotion	nomination
17 Boeing CH-47 Chinook in Australian service	22:02, 4 April 2018	21:46, 24 February 2018
18 Allied logistics in the Kokoda Track campaign	21:09, 4 April 2018	04:46, 5 February 2018
19 Design A-150 battleship	21:13, 4 April 2018	[majestic titan] and Sturmvogel
20 Moorgate tube crash	07:05, 4 April 2018	15:41, 14 March 2018
21 Ramesses VI	08:42, 4 April 2018	07:57, 9 March 2018
22 Margarita with a Straw	13:19, 3 April 2018	15:50, 23 February 2018
23 Carolwood Pacific Railroad	09:02, 3 April 2018	03:05, 24 January 2018
/March 2018
1 Avenue Range Station massacre	02:24, 24 March 2018	02:22, 11 February 2018
2 Keechaka Vadham	00:29, 24 March 2018	09:28, 1 March 2018
3 Droxford railway station	00:01, 24 March 2018	15:34, 28 February 2018
4 Ice drilling	21:25, 23 March 2018	22:33, 13 January 2018
5 Beta-Hydroxy beta-methylbutyric acid	21:53, 23 March 2018	07:28, 20 January 2018
6 Hogwarts Express (Universal Orlando Resort)	22:13, 23 March 2018	18:38, 20 January 2018
7 Red-tailed tropicbird	05:34, 17 March 2018	23:29, 26 February 2018
8 Sovereign (British coin)	05:35, 17 March 2018	01:08, 14 February 2018
9 Jean Baptiste Point du Sable	05:32, 17 March 2018	22:30, 9 February 2018
10 Battle of Warsaw (1705)	09:57, 17 March 2018	22:33, 15 January 2018
11 15th Tank Corps	20:36, 14 March 2018	00:13, 2 January 2018
12 Eliza Acton	11:42, 14 March 2018	15:51, 17 February 2018
13 Vesna Vulović	11:53, 14 March 2018	16:32, 2 February 2018
14 University of Washington station	11:25, 14 March 2018	01:51, 16 January 2018
15 Osbert Lancaster	10:56, 12 March 2018	09:03, 21 February 2018
16 Hydnum repandum	10:39, 12 March 2018	03:57, 16 January 2018
17 Pyramid of Neferirkare	16:49, 2 March 2018	11:57, 31 January 2018
/February 2018
1 1867 Manhattan, Kansas earthquake	21:41, 27 February 2018	22:53, 9 February 2018
2 Loss of MV Darlwyne	21:35, 27 February 2018	12:29, 31 January 2018
3 Andrew Jackson	20:58, 27 February 2018	19:32, 28 November 2017
4 Neferirkare Kakai	13:19, 24 February 2018	07:49, 28 January 2018
5 South China Sea raid	13:10, 24 February 2018	10:05, 27 January 2018
6 Pioneer Helmet	13:04, 24 February 2018	07:38, 27 January 2018
7 All Souls (TV series)	12:55, 24 February 2018	00:29, 26 January 2018
8 Royal Gloucestershire Hussars	12:21, 24 February 2018	17:14, 23 January 2018
9 Nodar Kumaritashvili	11:35, 23 February 2018	00:07, 13 January 2018
10 SMS Pommern	11:31, 23 February 2018	13:42, 22 January 2018
11 Loev (film)	11:27, 23 February 2018	17:37, 21 January 2018
12 Equestrian statue of Edward Horner	10:32, 23 February 2018	
13 HMS Vanguard (1909)	21:50, 22 February 2018	23:29, 15 January 2018
14 Livyatan	12:33, 22 February 2018	23:17, 17 December 2017
15 Revival (comics)	12:14, 22 February 2018	21:43, 30 November 2017
16 James K. Polk	12:43, 17 February 2018	13:06, 16 January 2018
17 Murder of Yvonne Fletcher	11:32, 17 February 2018	09:54, 16 January 2018
18 Elasmosaurus	21:50, 15 February 2018	23:55, 14 January 2018
19 Margaret (singer)	21:49, 15 February 2018	22:00, 13 January 2018
20 Wood stork	21:49, 15 February 2018	18:30, 13 January 2018
21 Henry Petre	21:46, 15 February 2018	07:38, 6 January 2018
22 Operation PBHistory	21:44, 15 February 2018	06:00, 2 January 2018
23 Bill McCann	21:04, 10 February 2018	07:23, 1 January 2018
/January 2018
1 3 of Hearts (album)	00:13, 31 January 2018	04:24, 1 January 2018
2 K-25	05:51, 31 January 2018	19:00, 27 December 2017
3 Anne Hathaway	22:36, 30 January 2018	16:47, 9 January 2018
4 Harry R. Truman	11:42, 20 January 2018	16:25, 5 January 2018
5 Anbe Sivam	11:37, 20 January 2018	12:32, 4 January 2018
6 Mosaics of Delos	11:33, 20 January 2018	01:26, 30 December 2017
7 Family Trade	11:30, 20 January 2018	20:32, 14 December 2017
8 ZETA (fusion reactor)	11:24, 20 January 2018	17:37, 27 November 2017
9 Planet of the Apes	11:21, 20 January 2018	23:07, 20 November 2017
10 Neferefre	23:12, 19 January 2018	08:15, 2 January 2018
11 SMS Zähringen	22:57, 19 January 2018	15:08, 28 December 2017
12 Connecticut Tercentenary half dollar	22:25, 19 January 2018	19:31, 20 December 2017
13 Thorium	22:22, 19 January 2018	14:56, 17 December 2017
14 Bat	22:14, 19 January 2018	LittleJerry, Chiswick Chap and
15 Hours of Mary of Burgundy	21:56, 19 January 2018	11:19, 2 December 2017
16 Withypool Stone Circle	21:48, 19 January 2018	23:46, 30 November 2017
17 Winter War	21:29, 19 January 2018	22:57, 14 December 2017
18 Aberfan disaster	21:48, 15 January 2018	23:01, 31 December 2017
19 Black-shouldered kite	21:41, 15 January 2018	03:54, 31 December 2017
20 Civil Service Rifles War Memorial	21:33, 15 January 2018	
21 Gloucestershire Regiment	21:28, 15 January 2018	10:30, 27 December 2017
22 Russian battleship Petropavlovsk (1894)	21:17, 15 January 2018	01:37, 27 December 2017
23 Felix Mendelssohn	21:14, 15 January 2018	10:39, 16 December 2017
24 Resident Evil: Apocalypse	23:35, 13 January 2018	00:46, 22 December 2017
25 Siege of Constantinople (674–678)	23:26, 13 January 2018	22:19, 21 December 2017
26 Washington State Route 520	23:21, 13 January 2018	05:00, 18 December 2017
27 Tommy Phillips	21:30, 12 January 2018	14:54, 2 November 2017
28 The Shawshank Redemption	21:39, 12 January 2018	21:36, 26 November 2017
29 The Breeders Tour 2014	21:49, 12 January 2018	06:15, 12 December 2017
/December 2017
1 Ho Ho Ho	23:58, 31 December 2017	01:31, 24 December 2017
2 Valley View (Romney, West Virginia)	23:42, 31 December 2017	22:52, 20 November 2017
3 Rogožarski IK-3	13:00, 31 December 2017	09:49, 3 November 2017
4 Arthur Sullivan	00:59, 31 December 2017	11:43, 14 December 2017
5 Southern boobook	00:30, 31 December 2017	13:12, 26 November 2017
6 Kate Winslet	23:21, 30 December 2017	20:44, 4 November 2017
7 Lancashire Fusiliers War Memorial	23:16, 29 December 2017	
8 Tottenham outrage	23:11, 29 December 2017	10:30, 6 December 2017
9 Nigel Williams (conservator)	23:01, 29 December 2017	13:18, 30 November 2017
10 Greek battleship Salamis	22:43, 29 December 2017	05:27, 28 November 2017
11 Super Mario World	22:40, 29 December 2017	21:19, 18 November 2017
12 2006 Bank of America 500	22:24, 29 December 2017	18:44, 29 October 2017
13 Cragside	23:01, 24 December 2017	13:03, 13 December 2017
14 Segundo Romance	23:09, 24 December 2017	15:02, 17 October 2017
15 Chains of Love (TV series)	23:49, 23 December 2017	20:18, 1 December 2017
16 Knuckles' Chaotix	23:49, 23 December 2017	23:08, 1 November 2017
17 Rhode Island Tercentenary half dollar	13:31, 17 December 2017	07:14, 25 November 2017
18 More Hall Annex	13:27, 17 December 2017	01:53, 23 November 2017
19 RSPB Minsmere	13:20, 17 December 2017	14:21, 20 November 2017
20 British hydrogen bomb programme	13:11, 17 December 2017	01:16, 6 November 2017
21 Golden jackal	20:44, 20 December 2017	21:36, 2 November 2017
22 Elcor, Minnesota	12:40, 17 December 2017	00:27, 21 October 2017
23 Three Sisters (Oregon)	11:45, 8 December 2017	21:14, 20 November 2017
24 History of the British farthing	11:36, 8 December 2017	22:07, 10 November 2017
25 HMS Neptune (1909)	11:53, 8 December 2017	15:10, 28 October 2017
26 Megalodon	12:06, 8 December 2017	01:17, 12 October 2017
/November 2017
1 Der 100. Psalm	19:49, 30 November 2017	23:06, 5 November 2017
2 Elizabeth David	19:33, 30 November 2017	10:57, 16 November 2017
3 John Tyndall (politician)	19:20, 30 November 2017	11:35, 30 October 2017
4 The Bat (play)	20:20, 27 November 2017	19:18, 24 October 2017
5 Lady Gaga	16:04, 26 November 2017	16:07, 2 November 2017
6 Black honeyeater	12:44, 26 November 2017	07:40, 3 November 2017
7 Saint Fin Barre's Cathedral	12:24, 26 November 2017	21:53, 21 October 2017
8 SMS Wittelsbach	12:16, 26 November 2017	18:30, 20 October 2017
9 Patrick Henry	14:42, 24 November 2017	08:22, 25 October 2017
10 Saguaro National Park	22:19, 23 November 2017	21:57, 25 October 2017
11 Lilias Armstrong	22:10, 23 November 2017	14:33, 17 October 2017
12 Friedrich Wilhelm von Seydlitz	21:59, 23 November 2017	15:43, 13 October 2017
13 Scarlett Johansson	21:54, 23 November 2017	19:44, 12 October 2017
14 Sonic the Hedgehog Spinball	22:26, 17 November 2017	15:00, 21 October 2017
15 Cento Vergilianus de laudibus Christi	22:23, 17 November 2017	18:43, 4 October 2017
16 Cleopatra Selene I	21:43, 11 November 2017	00:12, 20 September 2017
17 Jean Bolikango	21:38, 11 November 2017	17:46, 23 September 2017
18 DJ AM	23:33, 6 November 2017	09:17, 22 October 2017
19 Melanie Barnett	23:03, 6 November 2017	20:53, 14 October 2017
20 Raymond Leane	21:53, 4 November 2017	07:31, 9 October 2017
21 Northern rosella	17:26, 4 November 2017	15:01, 30 September 2017
/October 2017
1 Craig Kieswetter	07:25, 30 October 2017	14:40, 4 September 2017
2 Black-necked grebe	13:08, 29 October 2017	00:48, 22 September 2017
3 Coldrum Long Barrow	13:07, 29 October 2017	22:12, 5 October 2017
4 Mells War Memorial	11:17, 28 October 2017	
5 Operation Inmate	11:14, 28 October 2017	01:33, 14 October 2017
6 Balfour Declaration	11:02, 28 October 2017	08:44, 2 October 2017
7 Alfred Shout	17:42, 25 October 2017	03:31, 15 August 2017
8 The Boat Races 2017	22:24, 24 October 2017	16:10, 11 October 2017
9 Casey Stengel	22:21, 24 October 2017	21:08, 25 September 2017
10 Achelousaurus	22:14, 24 October 2017	19:57, 20 September 2017
11 The Fountainhead	22:01, 24 October 2017	19:34, 13 September 2017
12 Tukwila International Boulevard station	21:51, 24 October 2017	05:51, 12 August 2017
13 Spiro Agnew	14:47, 21 October 2017	October 2017 (UTC) and
14 S-50 (Manhattan Project)	14:34, 21 October 2017	00:43, 13 September 2017
15 Habits (Stay High)	19:30, 20 October 2017	05:37, 3 August 2017
16 Rodrigues rail	22:07, 19 October 2017	06:00, 4 October 2017
17 Amy Adams	22:05, 19 October 2017	08:01, 25 September 2017
18 Nights: Journey of Dreams	22:00, 19 October 2017	17:48, 15 September 2017
19 Sonic the Hedgehog (2006 video game)	21:52, 19 October 2017	12:13, 4 September 2017
20 Battle of Groix	21:43, 19 October 2017	18:32, 23 August 2017
21 Hurricane Fred (2015)	22:06, 14 October 2017	18:44, 27 September 2017
22 Manchester Cenotaph	22:08, 14 October 2017	
23 Guilden Morden boar	21:13, 14 October 2017	22:17, 19 September 2017
24 Pru (album)	19:22, 14 October 2017	19:41, 14 September 2017
25 Lesley J. McNair	19:01, 14 October 2017	11:32, 11 August 2017
26 SMS Brandenburg	22:06, 11 October 2017	12:07, 11 September 2017
27 Maurice Wilder-Neligan	21:39, 11 October 2017	00:21, 9 August 2017
28 Ethiopian historiography	21:36, 11 October 2017	15:16, 7 August 2017
29 Birthday-number effect	21:55, 6 October 2017	16:32, 17 September 2017
30 Miriam Makeba	21:39, 6 October 2017	(UTC), Midnightblueowl (talk ·
31 Sea mink	21:23, 5 October 2017	23:40, 26 August 2017
32 Referendum Party	21:27, 5 October 2017	18:23, 31 August 2017
/September 2017
1 Battle of Rossbach	22:31, 30 September 2017	14:29, 9 August 2017
2 Pied butcherbird	20:14, 25 September 2017	03:44, 7 September 2017
3 William Henry Harrison presidential campaign, 1840	20:03, 25 September 2017	22:10, 6 September 2017
4 Jessica Chastain	19:44, 25 September 2017	09:00, 17 August 2017
5 Rochdale Cenotaph	06:11, 24 September 2017	
6 Emily Davison	22:41, 23 September 2017	16:45, 19 August 2017
7 Rotating locomotion in living systems	00:47, 24 September 2017	15:58, 14 August 2017
8 Donald Trump (Last Week Tonight)	00:29, 24 September 2017	20:32, 27 July 2017
9 Florin (British coin)	00:18, 24 September 2017	15:02, 27 July 2017
10 Henry W. Sawyer	20:54, 22 September 2017	14:32, 7 September 2017
11 Ice core	20:30, 22 September 2017	16:26, 26 August 2017
12 Superliner (railcar)	21:23, 21 September 2017	17:49, 26 August 2017
13 Watching the River Flow	21:10, 21 September 2017	06:55, 23 August 2017
14 Paradises Lost	21:01, 21 September 2017	12:01, 20 August 2017
15 Commander Keen in Invasion of the Vorticons	20:53, 21 September 2017	21:50, 15 August 2017
16 Roland TR-808	20:43, 21 September 2017	10:49, 27 July 2017
17 Marcel Lihau	20:36, 21 September 2017	21:12, 26 July 2017
18 Barge of the Dead	21:24, 13 September 2017	00:43, 23 August 2017
19 Chartwell	21:14, 13 September 2017	20:01, 21 August 2017
20 Astronomica (Manilius)	21:07, 13 September 2017	15:13, 15 August 2017
21 On the Job (2013 film)	20:59, 13 September 2017	04:20, 10 August 2017
22 Baltimore railroad strike of 1877	20:27, 13 September 2017	16:15, 5 July 2017
23 Underwater diving	21:22, 6 September 2017	07:36, 30 July 2017
24 Waterloo Medal (Pistrucci)	21:24, 6 September 2017	11:37, 5 August 2017
25 Barry Voight	21:32, 6 September 2017	01:56, 9 August 2017
26 Scarlet myzomela	21:39, 6 September 2017	14:09, 20 August 2017
27 Smiley Smile	10:20, 2 September 2017	13:06, 2 June 2017
28 Fragment of a Crucifixion	10:25, 2 September 2017	19:36, 30 July 2017
29 RAAF area commands	10:27, 2 September 2017	23:44, 16 August 2017
30 High Explosive Research	21:03, 1 September 2017	21:45, 3 July 2017
/August 2017
1 Claudio Monteverdi	19:30, 31 August 2017	9 August 2017 (UTC),
2 Downtown Seattle Transit Tunnel	13:10, 30 August 2017	02:42, 16 July 2017
3 Marjorie Cameron	12:49, 30 August 2017	22:16, 23 June 2017
4 Ben Affleck	10:19, 26 August 2017	14:42, 30 July 2017
5 Red-billed quelea	19:49, 23 August 2017	12:58, 4 August 2017
6 Vultee Vengeance in Australian service	20:36, 22 August 2017	00:53, 30 July 2017
7 Steve Biko	12:46, 20 August 2017	11 July 2017 (UTC);
8 Black stork	12:30, 20 August 2017	11:31, 19 July 2017
9 Beringian wolf	12:06, 20 August 2017	22:26, 29 July 2017
10 Canadian Indian residential school system	11:09, 20 August 2017	01:38, 23 April 2017
11 John C. Breckinridge	21:18, 16 August 2017	01:22, 2 June 2017
12 Louise Bryant	13:07, 16 August 2017	02:21, 17 July 2017
13 1998 NFC Championship Game	12:48, 16 August 2017	19:23, 25 June 2017
14 Black-throated loon	11:47, 14 August 2017	15:11, 29 July 2017
15 Rainbow pitta	11:36, 14 August 2017	09:26, 29 July 2017
16 Hurricane Andrew	21:38, 12 August 2017	01:42, 4 June 2017
17 A Wizard of Earthsea	22:03, 10 August 2017	04:21, 26 July 2017
18 Alan Bush	21:42, 10 August 2017	14:05, 25 July 2017
19 The Getaway (1972 film)	22:17, 9 August 2017	05:23, 22 June 2017
20 Kaiman-class torpedo boat	10:03, 9 August 2017	23:34, 25 July 2017
21 Mercy Point	09:58, 9 August 2017	23:13, 25 July 2017
22 Benedetto Pistrucci	09:46, 9 August 2017	13:56, 23 July 2017
23 Battle of Leuthen	09:37, 9 August 2017	15:34, 3 July 2017
24 SMS Deutschland (1904)	09:32, 9 August 2017	20:03, 3 July 2017
25 True Detective (season 1)	08:57, 9 August 2017	17:35, 11 June 2017
/July 2017
1 Pigeon guillemot	23:22, 31 July 2017	19:39, 20 July 2017
2 Banksia serrata	23:22, 31 July 2017	15:07, 20 July 2017
3 The Blue Flame (play)	23:20, 31 July 2017	21:31, 17 July 2017
4 Walt Disney World Railroad	12:26, 31 July 2017	01:10, 7 July 2017
5 Donald Hardman	10:50, 31 July 2017	23:57, 15 July 2017
6 Holy Wood (In the Shadow of the Valley of Death)	18:45, 28 July 2017	17:34, 22 May 2017
7 Qatna	20:05, 26 July 2017	02:16, 22 June 2017
8 History of the British penny (1714–1901)	19:13, 26 July 2017	(talk)--20:30, 5 July 2017
9 6th Regiment Massachusetts Volunteer Militia	19:10, 26 July 2017	11:39, 30 June 2017
10 On the Mindless Menace of Violence	18:49, 26 July 2017	02:30, 7 June 2017
11 Beograd-class destroyer	21:02, 25 July 2017	07:20, 6 July 2017
12 Starship Troopers	20:54, 25 July 2017	17:16, 27 June 2017
13 Shine (Gwen Stefani song)	20:37, 25 July 2017	14:49, 19 June 2017
14 Steller's sea cow	20:32, 25 July 2017	22:37, 7 June 2017
15 Dungeon Siege	20:11, 25 July 2017	17:23, 24 May 2017
16 Fort Vancouver Centennial half dollar	10:57, 23 July 2017	12:40, 21 June 2017
17 Naruto	10:43, 23 July 2017	16:38, 20 June 2017
18 Istiodactylus	15:34, 22 July 2017	10:55, 25 June 2017
19 Jacob Gens	15:16, 22 July 2017	June 2017 (UTC) and
20 Macedonia (ancient kingdom)	16:17, 22 July 2017	15:26, 31 March 2017
21 Virgin and Child with Canon van der Paele	06:46, 17 July 2017	Nominator(s): Ceoil,
22 Banksia sceptrum	08:58, 15 July 2017	13:47, 30 June 2017
23 Grevillea juniperina	07:10, 15 July 2017	00:52, 24 June 2017
24 Yugoslav torpedo boat T5	20:01, 8 July 2017	09:59, 20 June 2017
25 Hooded pitohui	19:55, 8 July 2017	05:49, 20 June 2017
26 Disneyland Railroad	19:48, 8 July 2017	04:49, 20 June 2017
27 Lead	21:51, 5 July 2017	18:57, 18 April 2017
28 History of the British penny (1901–1970)	02:41, 3 July 2017	20:14, 17 June 2017
29 M-1 (Michigan highway)	03:02, 3 July 2017	03:10, 22 May 2017
30 Metallurgical Laboratory	03:26, 3 July 2017	23:41, 15 May 2017
31 Northern England	03:19, 3 July 2017	12:02, 9 May 2017
/June 2017
1 Green rosella	13:34, 30 June 2017	14:39, 31 May 2017
2 SMS Weissenburg	14:14, 30 June 2017	14:14, 30 May 2017
3 Cyclone Ada	20:08, 24 June 2017	01:28, 27 May 2017
4 Battle of Kunersdorf	19:47, 24 June 2017	16:16, 7 May 2017
5 Boogeyman 2	10:58, 24 June 2017	Boogeyman
6 Super Mario Bros.: The Lost Levels	11:05, 24 June 2017	06:55, 31 May 2017
7 Octopus	10:47, 24 June 2017	19:08, 29 May 2017
8 250t-class torpedo boat	20:18, 23 June 2017	07:50, 7 May 2017
9 Death of Leelah Alcorn	20:55, 23 June 2017	10:54, 25 May 2017
10 Red-billed tropicbird	21:24, 23 June 2017	14:54, 7 June 2017
11 Guadeloupe amazon	11:30, 21 June 2017	20:37, 5 June 2017
12 Coalhouse Fort	12:38, 21 June 2017	21:31, 31 May 2017
13 Illinois Centennial half dollar	11:58, 21 June 2017	15:41, 30 May 2017
14 The Million Second Quiz	11:50, 21 June 2017	12:09, 30 April 2017
15 Mother's Day (Rugrats)	07:58, 19 June 2017	02:04, 1 June 2017
16 Inaccessible Island rail	08:15, 19 June 2017	04:51, 27 May 2017
17 Isabelle Eberhardt	11:30, 18 June 2017	11:44, 26 May 2017
18 Name-letter effect	11:13, 18 June 2017	05:32, 25 May 2017
19 Nil Battey Sannata	08:49, 18 June 2017	12:13, 30 April 2017
20 1966 New York City smog	07:33, 18 June 2017	01:33, 26 April 2017
21 Louis Leblanc	07:16, 18 June 2017	03:38, 8 April 2017
22 Evita (1996 film)	21:35, 17 June 2017	23:59, 21 March 2017
23 Fallout 4: Far Harbor	20:49, 8 June 2017	10:17, 18 April 2017
24 Jerome, Arizona	20:58, 7 June 2017	18:12, 15 May 2017
25 Arlington, Washington	20:47, 7 June 2017	03:44, 7 May 2017
26 Adventure Time	20:38, 7 June 2017	18:54, 24 March 2017
27 Battle of Prokhorovka	18:13, 2 June 2017	21:53, 30 April 2017
28 Kalākaua coinage	18:13, 2 June 2017	April 2017 (UTC), Maile66
/May 2017
1 Norwich War Memorial	18:49, 31 May 2017	
2 Pacific blue-eye	12:39, 31 May 2017	21:43, 18 May 2017
3 Eve (2003 TV series)	13:21, 31 May 2017	19:48, 9 May 2017
4 Palsgraf v. Long Island Railroad Co.	13:25, 30 May 2017	v. Long Island Railroad
5 Dire wolf	18:26, 29 May 2017	21:12, 19 April 2017
6 Final Fantasy VII	18:14, 29 May 2017	17:33, 24 March 2017
7 No. 1 Aircraft Depot RAAF	22:09, 23 May 2017	06:51, 7 May 2017
8 Grey-necked wood rail	21:55, 23 May 2017	21:52, 21 April 2017
9 Kragujevac massacre	21:49, 23 May 2017	2017 (UTC) and 23
10 Heathenry (new religious movement)	21:23, 23 May 2017	19:02, 13 April 2017
11 Wipeout 2048	09:32, 20 May 2017	12:07, 29 March 2017
12 Cyclone Althea	21:47, 18 May 2017	02:22, 20 April 2017
13 Alloxylon pinnatum	21:30, 18 May 2017	21:59, 28 April 2017
14 The Demi-Virgin	08:13, 14 May 2017	14:49, 27 April 2017
15 Vermont Sesquicentennial half dollar	09:34, 14 May 2017	05:04, 23 April 2017
16 Tube Alloys	21:45, 12 May 2017	03:19, 18 April 2017
17 Monnow Bridge	09:21, 7 May 2017	19:49, 16 April 2017
18 Faces (Star Trek: Voyager)	22:25, 6 May 2017	03:40, 15 April 2017
19 Joe Warbrick	22:14, 6 May 2017	19:07, 14 April 2017
20 Hawker Hurricane in Yugoslav service	21:57, 6 May 2017	06:31, 13 April 2017
21 Battle of Hochkirch	21:44, 6 May 2017	19:41, 8 April 2017
22 Homeworld	21:19, 6 May 2017	15:01, 15 March 2017
23 Philadelphia municipal election, 1951	13:38, 5 May 2017	21:33, 10 April 2017
/April 2017
1 Battle of Goodenough Island	12:29, 30 April 2017	
2 Oregon Caves National Monument and Preserve	12:12, 30 April 2017	03:32, 15 April 2017
3 Van Diemen's Land v Port Phillip, 1851	11:30, 30 April 2017	22:44, 12 April 2017
4 St Vincent-class battleship	12:07, 30 April 2017	18:07, 9 April 2017
5 Banded stilt	21:46, 28 April 2017	11:46, 7 April 2017
6 Capella	21:31, 28 April 2017	10:31, 19 March 2017
7 Roosevelt dime	12:14, 22 April 2017	22:01, 27 March 2017
8 X-10 Graphite Reactor	20:08, 17 April 2017	05:19, 24 March 2017
9 The Fade Out	19:49, 17 April 2017	19:57, 7 March 2017
10 Morihei Ueshiba	19:41, 17 April 2017	13:17, 6 March 2017
11 Waiting (2015 film)	09:02, 16 April 2017	19:46, 18 March 2017
